'jian'mo	建模	011124.121784	51111254.12341222511134
'dang'qian'lu'jing	当前路径	2401.431252.299080.335411	243511.431251122.2512121354251.33254121
'dang'qian'ban'ben	当前版本	2401.431252.321534.121	243511.431251122.32153354.12341
'dang'qian'huo'dong'zhan	当前活动栈	2401.431252.4496.115453.121154	243511.431251122.441312251.115453.123411534
'dang'qian'jin'cheng'ju'bing	当前进程句柄	2401.431252.76454.928011.3580.121254	243511.431251122.1132454.312342511121.35251.123412534
'dang'qian'ri'qi	当前日期	2401.431252.81.7036	243511.431251122.2511.122111343511
'dang'qian'mu'lu	当前目录	2401.431252.82.012414	243511.431251122.25111.51124134
'dang'qian'mo'ren'mu'lu	当前默认目录	2401.431252.861344.4034.82.012414	243511.431251122.2543121144441344.4534.25111.51124134
'dang'bo'fa'sheng'qi'mei'zhuan	当波发生器每转	2401.445324.53544.371.808010.3106.771154	243511.44153254.53544.31121.2512511344251251.3155414.15211154
'dang'yi	当以	2401.5434	243511.5434
'dang'liang'zai'he	当量载荷	2401.811811.121774.173212	243511.251112511211.1211521534.1223212512
'dang'liang'chi'shu	当量齿数	2401.811811.21.685990	243511.251112511211.21213452.4312345313134
'dang'liang'chi'lun	当量齿轮	2401.811811.21.773435	243511.251112511211.21213452.15213435
'dang'liang'yuan'zhu'chi'lun'fu	当量圆柱齿轮副	2401.811811.258021.12411.21.773435.180832	243511.251112511211.2525125341.123441121.21213452.15213435.12512512122
'dang'liang'mo'ca'xi'shu	当量摩擦系数	2401.811811.471217.104694.356234.685990	243511.251112511211.413123412343112.12144535445411234.3554234.4312345313134
'dang'liang'mo'ca'ban'jing	当量摩擦半径	2401.811811.471217.104694.432.335411	243511.251112511211.413123412343112.12144535445411234.43112.33254121
'guang'chan'za	光掺杂	24135.105413.3512	243135.12154134333.351234
'guang'jie'shou'ji	光接收机	24135.106159.5290.1235	243135.12141431531.523134.123435
'guang'kai'guan	光开关	24135.1132.4334	243135.1132.431134
'guang'biao	光标	24135.121124	243135.123411234
'guang'dai	光带	24135.122245	243135.122245252
'guang'ji'sao'miao'yi	光机扫描仪	24135.1235.1001.101783.32434	243135.123435.121511.12112225121.32434
'guang'ji'xie'shu'biao	光机械鼠标	24135.1235.121134.97.121124	243135.123435.12341132534.3215115445445.123411234
'guang'shan'sao'miao	光栅扫描	24135.123531.1001.101783	243135.123435351.121511.12112225121
'guang'shan'xian'shi	光栅显示	24135.123531.8122.11234	243135.123435351.251122431.11234
'guang'cun'chu'qi	光存储器	24135.13258.324011.808010	243135.132521.324512132511.2512511344251251
'guang'die	光碟	24135.141852	243135.13251122151234
'guang'die'ta	光碟塔	24135.141852.191792	243135.13251122151234.121122341251
'guang'die'si'fu	光碟伺服	24135.141852.325180.365254	243135.13251122151234.3251251.35115254
'guang'die'si'fu'qi	光碟伺服器	24135.141852.325180.365254.808010	243135.13251122151234.3251251.35115254.2512511344251251
'guang'die'du'tou	光碟读头	24135.141852.401254.44134	243135.13251122151234.4512544134.44134
'guang'die'ku	光碟库	24135.141852.4777	243135.13251122151234.4131512
'guang'die'qu'dong'qi	光碟驱动器	24135.141852.501345.115453.808010	243135.13251122151234.5511345.115453.2512511344251251
'guang'die'zhen'lie	光碟阵列	24135.141852.5277.1322	243135.13251122151234.521512.135422
'guang'beng	光泵	24135.142534	243135.132512534
'guang'beng'pu	光泵浦	24135.142534.441254	243135.132512534.4411251124
'guang'ci'xiao'ying	光磁效应	24135.144316.663490.47641	243135.13251431554554.4134343134.4134431
'guang'ci'ruan'pan	光磁软盘	24135.144316.773534.9384	243135.13251431554554.15213534.33541425221
'guang'zhi'kang'shi'ji	光致抗蚀剂	24135.154190.104135.3026.663222	243135.1541213134.1214135.355251214.41343222
'guang'zhi'bian'se'bo'li	光致变色玻璃	24135.154190.6654.355215.115324.114134	243135.1541213134.41223454.355215.112153254.11214134522554
'guang'zhi'bian'se'xing	光致变色性	24135.154190.6654.355215.49371	243135.1541213134.41223454.355215.44231121
'guang'ling'cha'tan'ce	光零差探测	24135.163444.43121.104532.442822	243135.1452444434454.431113121.12145341234.441253422
'guang'pin'biao	光频标	24135.212338.121124	243135.2121233132534.123411234
'guang'pin'pin'fen'fu'yong	光频频分复用	24135.212338.212338.3453.318190.35112	243135.2121233132534.2121233132534.3453.312511354.35112
'guang'tong'bu'wang	光同步网	24135.25180.21233.253434	243135.251251.2121233.253434
'guang'tu'han'shu	光图函数	24135.259041.524132.685990	243135.25354441.52413452.4312345313134
'guang'yue'qian	光跃迁	24135.2996.312454	243135.25121213134.312454
'guang'min'gan'qi	光敏感器	24135.310690.131805.808010	243135.31554143134.1312515344544.2512511344251251
'guang'min'wei'jing'bo'li	光敏微晶玻璃	24135.310690.332010.818181.115324.114134	243135.31554143134.3322521353134.251125112511.112153254.11214134522554
'guang'fu'xiao'ying	光伏效应	24135.321344.663490.47641	243135.321344.4134343134.4134431
'guang'fu'qi'jian	光伏器件	24135.321344.808010.3231	243135.321344.2512511344251251.323112
'guang'shun	光顺	24135.322138	243135.322132534
'guang'shun'xing	光顺性	24135.322138.49371	243135.322132534.44231121
'guang'xin'xi'chu'li	光信息处理	24135.3240.38265.9024.118121	243135.324111251.3251114544.35424.11212511211
'guang'pian'zhuan	光偏转	24135.324077.771154	243135.32451325122.15211154
'guang'pian'zhi	光偏置	24135.324077.841227	243135.32451325122.2522112251111
'guang'guan	光管	24135.374621	243135.31431444525151
'guang'bi	光笔	24135.3767	243135.3143143115
'guang'zi'xian	光自陷	24135.382.523597	243135.325111.5235321511
'guang'cu'mie	光猝灭	24135.384132.169	243135.35341343412.14334
'guang'ji'suan'ji	光计算机	24135.4012.378212.1235	243135.4512.31431425111132.123435
'guang'tiao'zhi'qi	光调制器	24135.403510.311252.808010	243135.4535121251.31125222.2512511344251251
'guang'ji'lu	光记录	24135.40515.012414	243135.45515.51124134
'guang'ji'lu'jie'zhi	光记录介质	24135.40515.012414.3432.331228	243135.45515.51124134.3432.33122534
'guang'shuai'jian'qi	光衰减器	24135.412514.411314.808010	243135.4125113534.41131251534.2512511344251251
'guang'liang'du	光亮度	24135.414535.471854	243135.412514535.413122154
'guang'ke	光刻	24135.415332	243135.41533422
'guang'ke'gong'yi	光刻工艺	24135.415332.121.175	243135.41533422.121.1225
'guang'ke'ji	光刻机	24135.415332.1235	243135.41533422.123435
'guang'ke'jiao	光刻胶	24135.415332.366634	243135.41533422.3511413434
'guang'fa	光阀	24135.423214	243135.425321534
'guang'yuan'fang'xiang	光源方向	24135.441334.60.32580	243135.4411332511234.4153.325251
'guang'fa	光法	24135.441954	243135.44112154
'guang'zhu'ru'qi	光注入器	24135.44411.34.808010	243135.44141121.34.2512511344251251
'guang'liu	光流	24135.444155	243135.4414154325
'guang'liu'chang	光流场	24135.444155.19533	243135.4414154325.121533
'guang'lv'bo'qi	光滤波器	24135.448765.445324.808010	243135.4412153154544.44153254.2512511344251251
'guang'du'xue	光度学	24135.471854.6458	243135.413122154.44345521
'guang'qu	光驱	24135.501345	243135.5511345
'guang'ge'li'qi	光隔离器	24135.521802.413454.808010	243135.521251254312.4134522554.2512511344251251
'guang'fa'song'ji	光发送机	24135.53544.433444.1235	243135.53544.431134454.123435
'guang'can'liang'zhen'dang	光参量振荡	24135.541343.811811.101314.174453	243135.54134333.251112511211.1211311534.122441533
'guang'can'liang'fang'da	光参量放大	24135.541343.811811.6090.134	243135.54134333.251112511211.41533134.134
'guang'tong'xin	光通信	24135.542514.3240	243135.5425112454.324111251
'guang'tong'liang	光通量	24135.542514.811811	243135.5425112454.251112511211
'guang'neng	光能	24135.542515	243135.5425113535
'guang'xian'tou'she	光线投射	24135.551154.103554.95124	243135.55111534.1213554.3251113124
'guang'xian'gen'zong	光线跟踪	24135.551154.2903.294614	243135.55111534.2512121511534.251212144511234
'guang'xian'zhui'zong	光线追踪	24135.551154.325154.294614	243135.55111534.325151454.251212144511234
'guang'xian'fang'xiang	光线方向	24135.551154.60.32580	243135.55111534.4153.325251
'guang'lan	光缆	24135.552235	243135.551223142535
'guang'lan'lian'jie'qi	光缆连接器	24135.552235.77454.106159.808010	243135.551223142535.1512454.12141431531.2512511344251251
'guang'xian	光纤	24135.55312	243135.551312
'guang'xian'shu	光纤束	24135.55312.180234	243135.551312.1251234
'guang'xian'gu'ding'jie'tou	光纤固定接头	24135.55312.251281.461214.106159.44134	243135.551312.25122511.44512134.12141431531.44134
'guang'xian'min'gan'qi	光纤敏感器	24135.55312.310690.131805.808010	243135.551312.31554143134.1312515344544.2512511344251251
'guang'xian'bao'ceng	光纤包层	24135.55312.35515.071154	243135.551312.35515.5131154
'guang'xian'se'san	光纤色散	24135.55312.355215.182510	243135.551312.355215.122125113134
'guang'xian'ji'guang'qi	光纤激光器	24135.55312.443810.24135.808010	243135.551312.4413251141533134.243135.2512511344251251
'guang'xian'tuo'luo	光纤陀螺	24135.55312.524635.268354	243135.551312.5244535.25121425121554234
'guang'xian'tong'xin	光纤通信	24135.55312.542514.3240	243135.551312.5425112454.324111251
'guang'xian'zong'he'wang	光纤综合网	24135.55312.554614.92.253434	243135.551312.55144511234.341251.253434
'guang'xian'lian'jie'qi	光纤连接器	24135.55312.77454.106159.808010	243135.551312.1512454.12141431531.2512511344251251
'guang'qiang	光强	24135.578026	243135.515251251214
'guang'qiang'tiao'zhi	光强调制	24135.578026.403510.311252	243135.515251251214.4535121251.31125222
'guang'zi	光子	24135.58	243135.521
'guang'zi'hui'bo	光子回波	24135.58.25801.445324	243135.521.252511.44153254
'guang'zi'ji'suan'ji	光子计算机	24135.58.4012.378212.1235	243135.521.4512.31431425111132.123435
'guang'zi'qi'jian	光子器件	24135.58.808010.3231	243135.521.2512511344251251.323112
'guang'gu'zi	光孤子	24135.583354.58	243135.52133544.521
'guang'shi'xiao'lv	光视效率	24135.622535.663490.415642	243135.45242535.4134343134.41554413412
'guang'shi'xiao'neng	光视效能	24135.622535.663490.542515	243135.45242535.4134343134.5425113535
'guang'xue'cun'chu	光学存储	24135.6458.13258.324011	243135.44345521.132521.324512132511
'guang'xue'dian	光学点	24135.6458.218069	243135.44345521.212514444
'guang'xue'tu'xiang	光学图像	24135.6458.259041.323584	243135.44345521.25354441.3235251353334
'guang'xue'xie'zhen'qiang	光学谐振腔	24135.6458.401531.101314.364631	243135.44345521.45153532511.1211311534.351144534121
'guang'xue'shuang'wen'tai'qi'jian	光学双稳态器件	24135.6458.5454.923505.134465.808010.3231	243135.44345521.5454.31234355114544.13444544.2512511344251251.323112
'guang'xue'hui'tu'ji	光学绘图机	24135.6458.553414.259041.1235	243135.44345521.551341154.25354441.123435
'guang'xue'zhang'dong	光学章动	24135.6458.618112.115453	243135.44345521.41431251112.115453
'guang'ou'he'ge'li'qi	光耦合隔离器	24135.718124.92.521802.413454.808010	243135.111234251125214.341251.521251254312.4134522554.2512511344251251
'guang'ou'he'qi	光耦合器	24135.718124.92.808010	243135.111234251125214.341251.2512511344251251
'guang'ou'he'qi'jian	光耦合器件	24135.718124.92.808010.3231	243135.111234251125214.341251.2512511344251251.323112
'guang'gui'jian'ju	光轨间距	24135.7735.4281.291515	243135.152135.4252511.25121211515
'guang'kou	光口	24135.80	243135.251
'guang'kou'zhuan'dian'kou	光口转电口	24135.80.771154.815.80	243135.251.15211154.25115.251
'guang'shi'yu'fan'she'yi	光时域反射仪	24135.81124.191804.3354.95124.32434	243135.2511124.12112511534.3354.3251113124.32434
'guang'shi'fen'fu'yong	光时分复用	24135.81124.3453.318190.35112	243135.2511124.3453.312511354.35112
'guang'yun	光晕	24135.814577	243135.2511451512
'guang'dian'er'ji'guan	光电二极管	24135.815.11.12354.374621	243135.25115.11.1234354.31431444525151
'guang'dian'hua'xue'dian'chi	光电化学电池	24135.815.3235.6458.815.44525	243135.25115.3235.44345521.25115.441525
'guang'dian'ji'cheng'dian'lu	光电集成电路	24135.815.324172.135534.815.299080	243135.25115.324111211234.135534.25115.2512121354251
'guang'dian'hang'bo'guan	光电行波管	24135.815.33112.445324.374621	243135.25115.332112.44153254.31431444525151
'guang'dian'li	光电离	24135.815.413454	243135.25115.4134522554
'guang'dian'chi	光电池	24135.815.44525	243135.25115.441525
'guang'dian'dao	光电导	24135.815.515124	243135.25115.515124
'guang'dian'dao'shuai'tui	光电导衰退	24135.815.515124.412514.03454	243135.25115.515124.4125113534.511534454
'guang'dian'dao'xiao'ying	光电导效应	24135.815.515124.663490.47641	243135.25115.515124.4134343134.4134431
'guang'dian'fa'she	光电发射	24135.815.53544.95124	243135.25115.53544.3251113124
'guang'dian'dui'kang	光电对抗	24135.815.54124.104135	243135.25115.54124.1214135
'guang'dian'zi'xue	光电子学	24135.815.58.6458	243135.25115.521.44345521
'guang'dian'xiao'ying	光电效应	24135.815.663490.47641	243135.25115.4134343134.4134431
'guang'dian'zhuan'huan'xiao'lv	光电转换效率	24135.815.771154.103524.663490.415642	243135.25115.15211154.1213525134.4134343134.41554413412
'guang'dian'jing'ti'guan	光电晶体管	24135.815.818181.32121.374621	243135.25115.251125112511.3212341.31431444525151
'guang'zhao'mo'xing	光照模型	24135.815389.121784.113229	243135.2511532514444.12341222511134.113222121
'guang'wai'cha'tan'ce	光外差探测	24135.9024.43121.104532.442822	243135.35424.431113121.12145341234.441253422
'guang'pan	光盘	24135.9384	243135.33541425221
'guang'pan'pian	光盘片	24135.9384.3215	243135.33541425221.3215
'guang'pan'jing'xiang'guan'li'xi'tong	光盘镜像管理系统	24135.9384.916185.323584.374621.118121.356234.554155	243135.33541425221.3111541431251135.3235251353334.31431444525151.11212511211.3554234.551415435
'guang'shu'biao	光鼠标	24135.97.121124	243135.3215115445445.123411234
'hui'guang'fang'dian	辉光放电	241357.24135.6090.815	243135451512.243135.41533134.25115
'hui'guang'fang'dian'guan	辉光放电管	241357.24135.6090.815.374621	243135451512.243135.41533134.25115.31431444525151
'xiao'ke'lai'er'ji'guan	肖克莱二极管	242511.128035.17168.11.12354.374621	2432511.1225135.1221431234.11.1234354.31431444525151
'xiao'te'ji'shi'lei	肖特基势垒	242511.311914.7019.103543.545459	2432511.3121121124.12211134121.12135453.545454121
'xiao'te'ji'jie'chu	肖特基接触	242511.311914.7019.106159.3526	2432511.3121121124.12211134121.12141431531.3535112251214
'xiao'te'ji'tai'yang'dian'chi	肖特基太阳电池	242511.311914.7019.1344.5281.815.44525	2432511.3121121124.12211134121.1344.522511.25115.441525
'xiao'bao'liang	削薄量	242512.174414.811811	243251122.1224411251124124.251112511211
'xiao'bo	削波	242512.445324	243251122.44153254
'xiao'bo'qi	削波器	242512.445324.808010	243251122.44153254.2512511344251251
'chang'kai'zhi'dong'qi	常开制动器	248025.1132.311252.115453.808010	24345251252.1132.31125222.115453.2512511344251251
'chang'kai'li'he'qi	常开离合器	248025.1132.413454.92.808010	24345251252.1132.4134522554.341251.2512511344251251
'chang'gui'xin'xi'xi'tong	常规信息系统	248025.113425.3240.38265.356234.554155	24345251252.11342535.324111251.3251114544.3554234.551415435
'chang'gui'shi'yan'shai'zu	常规试验筛组	248025.113425.401124.503411.372315.5527	24345251252.11342535.45112154.5513414431.314314231252.55125111
'chang'gui'shi'yan'fa	常规试验法	248025.113425.401124.503411.441954	24345251252.11342535.45112154.5513414431.44112154
'chang'gui'chong'dian	常规充电	248025.113425.415435.815	24345251252.11342535.415435.25115
'chang'gui'mi'ma'ti'zhi	常规密码体制	248025.113425.466520.1450.32121.311252	24345251252.11342535.44545434252.13251551.3212341.31125222
'chang'jian'wen'ti	常见问题	248025.2535.4280.811218	24345251252.2535.425251.251112134132534
'chang'yong'ji'gou	常用机构	248025.35112.1235.123554	24345251252.35112.123435.12343554
'chang'yong'ci	常用词	248025.35112.405180	24345251252.35112.4551251
'chang'shi'tui'li	常识推理	248025.408034.103241.118121	24345251252.4525134.12132411121.11212511211
'chang'shi'yu'yi'xue	常识语意学	248025.408034.401250.618165.6458	24345251252.4525134.451251251.4143125114544.44345521
'chang'bi'zhi'dong'qi	常闭制动器	248025.42123.311252.115453.808010	24345251252.425123.31125222.115453.2512511344251251
'chang'zhu'kong'zhi'cheng'xu	常驻控制程序	248025.50411.104631.311252.928011.4754	24345251252.55141121.12144534121.31125222.312342511121.4135452
'chang'zhu'cao'zuo'xi'tong	常驻操作系统	248025.50411.108082.323121.356234.554155	24345251252.55141121.1212512512511234.3231211.3554234.551415435
'chang'shu'chuan'bo	常数传播	248025.685990.321154.103683	24345251252.4312345313134.321154.121343123425121
'chang'shu'he'bing	常数合并	248025.685990.92.4332	24345251252.4312345313134.341251.431132
'chang'liang	常量	248025.811811	24345251252.251112511211
'chang'liang'shuo'ming	常量说明	248025.811811.404385.8136	24345251252.251112511211.454325135.25113511
'chang'he'li'he'qi	常合离合器	248025.92.413454.92.808010	24345251252.341251.4134522554.341251.2512511344251251
'zhang'shang'ji'suan'ji	掌上计算机	248067.211.4012.378212.1235	243452513112.211.4512.31431425111132.123435
'yuan'qu'wang	园区网	251131.1345.253434	2511351.1345.253434
'guo'jia'kong'guan'xi'tong	国家空管系统	251141.4613.463411.374621.356234.554155	25112141.4451353334.44534121.31431444525151.3554234.551415435
'wei'chan'qi'jian'hu'yi	围产期监护仪	251151.613.7036.223144.10407.32434	2511521.414313.122111343511.2231425221.1214513.32434
'mao'chong	冒充	251182.415435	251125111.415435
'mao'pao'pai'xu	冒泡排序	251182.443555.1023.4754	251125111.44135515.12121112111.4135452
